question,answer,difficulty,evidence
What are the specific models of Mac desktop computers listed in the text?,"The specific Mac desktop computer models listed are iMac, Mac mini, Mac Studio, and Mac Pro.",medium,
"According to the text, what operating system is used for the Company's smartphone line and what operating system is used for its multipurpose tablet line?","The Company's smartphone line is based on its iOS operating system, and its multipurpose tablet line is based on its iPadOS operating system.",medium,
"What products are categorized under ""Home""?","Products categorized under ""Home"" include Apple TV®, the Company’s media streaming and gaming device based on its tvOS® operating system, and HomePod® and HomePod mini®, high-fidelity wireless smart speakers.",easy,
"How many reportable geographic segments does the Company have, and what are they?","The Company has five reportable geographic segments: the Americas, Europe, Greater China, Japan, and Rest of Asia Pacific.",easy,
"In which countries and regions are the Company's outsourcing partners primarily located for manufacturing, according to the text?","The Company's outsourcing partners for manufacturing are primarily located in China mainland, India, Japan, South Korea, Taiwan, and Vietnam.",easy,
What types of natural disasters are explicitly mentioned as occurring more frequently or with more intense effects due to global climate change?,"The text states that droughts, floods, hurricanes, and wildfires are occurring more frequently or with more intense effects due to global climate change.",easy,
How does the Company's reliance on single or limited sources for critical components affect the potential negative consequences following a business interruption?,The Company's reliance on single or limited sources for the supply and manufacture of many critical components would exacerbate any negative consequences to the Company if a business interruption affects those sources.,medium,
"What characteristic often applies to components used in the Company's new products, regarding their availability?",The Company’s new products often utilize custom components available from only one source.,easy,
"According to the text, what are the potential adverse effects on the Company's business and reputation if its products and services are affected by design and manufacturing defects?",Design and manufacturing defects could materially adversely affect the Company’s business and result in harm to the Company’s reputation.,easy,
Under what conditions does the Company record a write-down for its product and component inventories?,"The Company records a write-down for product and component inventories that have become obsolete or exceed anticipated demand, or for which cost exceeds net realizable value.",easy,
